电影名称				评分		评分人数
爱在午夜降临前				8.8		230794
罗生门				8.8		230794
终结者2：审判日				8.7		230794
初恋这件小事				8.4		230794
海洋				9.1		230794
魂断蓝桥				8.8		230794
可可西里				8.8		230794
燃情岁月				8.8		230794
2001太空漫游				8.8		230794
穿越时空的少女				8.6		230794
牯岭街少年杀人事件				8.8		230794
城市之光				9.3		230794
完美陌生人				8.5		230794
无耻混蛋				8.6		230794
新龙门客栈				8.6		230794
源代码				8.4		230794
阿飞正传				8.5		230794
青蛇				8.5		230794
色，戒				8.5		230794
香水				8.5		230794
谍影重重2				8.7		230794
遗愿清单				8.6		230794
地球上的星星				8.9		230794
血钻				8.7		230794
大佛普拉斯				8.7		230794
