电影名称				评分		评分人数
战争之王				8.6		262116
谍影重重				8.6		262116
疯狂的麦克斯4：狂暴之路				8.6		262116
猜火车				8.5		262116
彗星来的那一夜				8.5		262116
步履不停				8.8		262116
朗读者				8.6		262116
浪潮				8.7		262116
小萝莉的猴神大叔				8.4		262116
九品芝麻官				8.5		262116
再次出发之纽约遇见你				8.5		262116
东京物语				9.2		262116
驴得水				8.3		262116
聚焦				8.8		262116
哈利·波特与火焰杯				8.5		262116
追随				8.9		262116
一次别离				8.7		262116
千钧一发				8.8		262116
我爱你				9.0		262116
波西米亚狂想曲				8.7		262116
黑鹰坠落				8.7		262116
网络谜踪				8.6		262116
四个春天				8.9		262116
发条橙				8.6		262116
E.T. 外星人				8.6		262116
