电影名称				评分		评分人数
黑客帝国3：矩阵革命				8.7		299113
模仿游戏				8.7		299113
哈利·波特与密室				8.6		299113
头脑特工队				8.7		299113
你看起来好像很好吃				8.9		299113
雨人				8.7		299113
未麻的部屋				8.9		299113
无敌破坏王				8.7		299113
新世界				8.8		299113
海街日记				8.8		299113
冰川时代				8.6		299113
恋恋笔记本				8.5		299113
二十二				8.7		299113
惊魂记				9.0		299113
海边的曼彻斯特				8.6		299113
房间				8.8		299113
虎口脱险				8.9		299113
恐怖游轮				8.5		299113
奇迹男孩				8.6		299113
魔女宅急便				8.6		299113
人工智能				8.6		299113
雨中曲				9.0		299113
疯狂的石头				8.5		299113
小偷家族				8.7		299113
绿里奇迹				8.8		299113
