电影名称				评分		评分人数
驯龙高手				8.7		547249
超能陆战队				8.7		547249
幸福终点站				8.8		547249
借东西的小人阿莉埃蒂				8.8		547249
菊次郎的夏天				8.8		547249
爱在日落黄昏时				8.8		547249
恐怖直播				8.8		547249
完美的世界				9.1		547249
神偷奶爸				8.6		547249
怪兽电力公司				8.7		547249
功夫				8.6		547249
玩具总动员3				8.8		547249
人生果实				9.5		547249
血战钢锯岭				8.7		547249
傲慢与偏见				8.6		547249
风之谷				8.9		547249
时空恋旅人				8.7		547249
教父3				8.9		547249
天书奇谭				9.2		547249
上帝之城				8.9		547249
电锯惊魂				8.7		547249
喜宴				8.9		547249
被解救的姜戈				8.7		547249
英雄本色				8.7		547249
谍影重重3				8.8		547249
