电影名称				评分		评分人数
幽灵公主				8.9		394677
阳光灿烂的日子				8.8		394677
小森林 夏秋篇				9.0		394677
入殓师				8.8		394677
重庆森林				8.7		394677
第六感				8.9		394677
7号房的礼物				8.9		394677
消失的爱人				8.7		394677
红辣椒				9.0		394677
小森林 冬春篇				9.0		394677
爱在黎明破晓前				8.8		394677
一一				9.0		394677
侧耳倾听				8.9		394677
唐伯虎点秋香				8.6		394677
超脱				8.9		394677
玛丽和马克思				8.9		394677
倩女幽魂				8.7		394677
蝙蝠侠：黑暗骑士崛起				8.8		394677
告白				8.7		394677
大鱼				8.8		394677
阳光姐妹淘				8.8		394677
甜蜜蜜				8.8		394677
萤火之森				8.9		394677
射雕英雄传之东成西就				8.7		394677
无人知晓				9.1		394677
