电影名称				评分		评分人数
教父2				9.2		371348
指环王2：双塔奇兵				9.1		371348
狮子王				9.0		371348
大闹天宫				9.3		371348
窃听风暴				9.1		371348
指环王1：魔戒再现				9.0		371348
猫鼠游戏				9.0		371348
两杆大烟枪				9.1		371348
美丽心灵				9.0		371348
饮食男女				9.1		371348
钢琴家				9.2		371348
黑客帝国				9.0		371348
飞越疯人院				9.1		371348
V字仇杀队				8.9		371348
本杰明·巴顿奇事				8.9		371348
看不见的客人				8.8		371348
让子弹飞				8.8		371348
西西里的美丽传说				8.9		371348
小鞋子				9.2		371348
拯救大兵瑞恩				9.0		371348
海豚湾				9.3		371348
绿皮书				8.9		371348
情书				8.9		371348
穿条纹睡衣的男孩				9.1		371348
音乐之声				9.0		371348
