电影名称				评分		评分人数
七武士				9.2		134659
哪吒闹海				9.1		134659
岁月神偷				8.7		134659
我是山姆				8.9		134659
釜山行				8.5		134659
头号玩家				8.7		134659
疯狂原始人				8.7		134659
纵横四海				8.8		134659
三块广告牌				8.7		134659
心迷宫				8.7		134659
达拉斯买家俱乐部				8.8		134659
哈利·波特与阿兹卡班的囚徒				8.7		134659
萤火虫之墓				8.7		134659
荒蛮故事				8.8		134659
真爱至上				8.6		134659
贫民窟的百万富翁				8.6		134659
东邪西毒				8.6		134659
你的名字。				8.4		134659
卢旺达饭店				8.9		134659
记忆碎片				8.6		134659
爆裂鼓手				8.7		134659
花样年华				8.7		134659
黑天鹅				8.6		134659
忠犬八公物语				9.2		134659
一个叫欧维的男人决定去死				8.8		134659
