电影名称				评分		评分人数
肖申克的救赎				9.7		2046890
霸王别姬				9.6		2046890
阿甘正传				9.5		2046890
这个杀手不太冷				9.4		2046890
美丽人生				9.5		2046890
泰坦尼克号				9.4		2046890
千与千寻				9.4		2046890
辛德勒的名单				9.5		2046890
盗梦空间				9.3		2046890
忠犬八公的故事				9.4		2046890
海上钢琴师				9.3		2046890
楚门的世界				9.3		2046890
三傻大闹宝莱坞				9.2		2046890
机器人总动员				9.3		2046890
放牛班的春天				9.3		2046890
星际穿越				9.3		2046890
大话西游之大圣娶亲				9.2		2046890
熔炉				9.3		2046890
疯狂动物城				9.2		2046890
无间道				9.2		2046890
龙猫				9.2		2046890
教父				9.3		2046890
当幸福来敲门				9.1		2046890
怦然心动				9.1		2046890
触不可及				9.2		2046890
