电影名称				评分		评分人数
蝙蝠侠：黑暗骑士				9.2		738837
控方证人				9.6		738837
活着				9.2		738837
寻梦环游记				9.1		738837
乱世佳人				9.3		738837
末代皇帝				9.2		738837
摔跤吧！爸爸				9.0		738837
何以为家				9.1		738837
指环王3：王者无敌				9.2		738837
少年派的奇幻漂流				9.1		738837
飞屋环游记				9.0		738837
十二怒汉				9.4		738837
鬼子来了				9.2		738837
天空之城				9.1		738837
素媛				9.2		738837
哈尔的移动城堡				9.1		738837
大话西游之月光宝盒				9.0		738837
天堂电影院				9.2		738837
罗马假日				9.0		738837
闻香识女人				9.1		738837
辩护人				9.2		738837
哈利·波特与魔法石				9.0		738837
我不是药神				9.0		738837
搏击俱乐部				9.0		738837
死亡诗社				9.1		738837
